student_id,age,parental_education,study_hours_week,attendance_rate,sleep_hours,previous_scores,final_grade,gender_  F ,gender_  M ,gender_F,gender_Female,gender_M,gender_Male,extracurricular_  Yes ,extracurricular_NO,extracurricular_No,extracurricular_YES,extracurricular_Yes,tutoring_  Yes ,tutoring_NO,tutoring_No,tutoring_YES,tutoring_Yes,internet_quality_  Good ,internet_quality_  Poor ,internet_quality_EXCELLENT,internet_quality_Excellent,internet_quality_GOOD,internet_quality_Good,internet_quality_POOR,internet_quality_Poor,family_income_  Low ,family_income_  Medium ,family_income_HIGH,family_income_High,family_income_LOW,family_income_Low,family_income_MEDIUM,family_income_Medium,health_status_  Good ,health_status_  Poor ,health_status_EXCELLENT,health_status_Excellent,health_status_GOOD,health_status_Good,health_status_POOR,health_status_Poor,study_efficiency,sleep_quality,engagement_score
STD01416,22,2.0,-0.90295622224182,0.97485729776285,-0.4245150307124218,-0.8503264983010725,85.39,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-8.762297984935952,-0.4138415757000248,0.97485729776285
STD01345,19,2.0,0.6202815771650364,-0.08674332863681208,0.946951989055233,-0.7550362690999162,98.43,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-0.4659907757644094,-0.08214176758990095,-0.08674332863681208
STD01705,25,3.0,0.048070519010889934,0.002300526326812766,-0.33196204164834736,1.5568346325417695,100.0,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.485429276277156,-0.0007636874163145389,0.002300526326812766
STD00299,21,2.0,-1.253859170796279,0.8541534054788251,-0.003819625875717607,-0.685734284226348,86.85,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,2.701238966768103,-0.003262546449399234,0.8541534054788251
STD01762,19,2.0,-1.1860711011891676,-0.9158405559647873,0.8964685404748296,-0.35330132553595106,83.25,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1.8987436699091187,-0.8210222465134094,-0.9158405559647873
STD00396,22,2.0,0.9711845257194954,-0.5873676687656373,-0.23099514448753825,-0.21253166876151616,98.4,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,-0.107819266024291,0.13567907951382688,-0.5873676687656373
STD02045,21,2.0,-1.4951049479274698,0.16752634609265044,-0.003819625875717607,-0.8427465937055261,82.39,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,1.7021574864749358,-0.0006398879663999108,0.0
STD00258,19,3.0,0.008195183947883366,1.3043195611282623,-1.63611779664213,0.571447035120723,93.03,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,0.5668019885624279,-2.1340204464704025,0.0
STD01805,25,2.0,0.8714961880619786,-0.9168299321310496,0.08031945509162293,-1.2000849532098612,91.03,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,-0.6412436001019084,-0.07363928056045553,-0.9168299321310496
STD01844,18,,-0.5600283406999623,0.4643391959714004,-0.4834123873895606,-3.8563000921920882,77.99,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,-8.764882943431347,-0.2244673192830837,0.4643391959714004
